time,SW_d,LW_d,T2m,TSKIN,QH,QL,RAIN,BDOT,ALBEDO
2021-01-01 00:00:00,49.923,229.662,269.547,259.909,8.671,-14.076,0.000,0.034,0.626
2021-01-01 01:00:00,101.693,225.982,269.557,260.668,8.008,-9.344,0.000,0.021,0.626
2021-01-01 02:00:00,177.041,222.611,269.257,261.791,7.026,-5.264,0.000,0.008,0.626
2021-01-01 03:00:00,270.589,219.714,269.457,262.515,5.335,-7.015,0.000,0.004,0.626
2021-01-01 04:00:00,373.418,220.756,269.557,264.961,3.581,-3.608,0.000,0.002,0.626
2021-01-01 05:00:00,477.946,223.729,269.457,265.634,2.401,-3.158,0.000,0.011,0.626
2021-01-01 06:00:00,596.622,208.586,268.657,267.032,0.802,-0.199,0.000,0.033,0.626
2021-01-01 07:00:00,702.790,197.015,268.857,267.696,1.815,-0.894,-0.000,-0.001,0.626
2021-01-01 08:00:00,776.723,199.145,268.757,268.506,4.028,-1.652,0.000,0.012,0.626
2021-01-01 09:00:00,814.134,214.065,269.457,269.236,5.066,-3.847,0.000,0.016,0.626
2021-01-01 10:00:00,819.405,215.226,268.757,269.069,4.975,-2.432,0.000,0.024,0.626
2021-01-01 11:00:00,816.071,213.843,268.957,269.137,6.060,-3.969,0.000,0.022,0.626
2021-01-01 12:00:00,784.424,214.910,268.957,269.129,6.015,-3.940,0.000,0.028,0.626
2021-01-01 13:00:00,703.298,215.883,269.257,267.910,6.447,-4.826,0.000,0.013,0.626
2021-01-01 14:00:00,620.660,225.123,269.357,266.942,6.430,-4.325,0.000,0.005,0.626
2021-01-01 15:00:00,520.069,219.614,269.657,265.310,6.456,-4.432,0.000,0.004,0.626
2021-01-01 16:00:00,393.250,213.000,269.357,263.766,6.630,-1.724,0.000,0.001,0.626
2021-01-01 17:00:00,269.953,223.101,269.457,262.208,6.036,-4.090,0.000,0.000,0.626
2021-01-01 18:00:00,204.354,208.382,269.557,260.862,5.506,-5.103,-0.000,-0.000,0.626
