time,SW_d,LW_d,T2m,TSKIN,QH,QL,RAIN,BDOT,ALBEDO
2021-01-01 00:00:00,63.282,204.483,269.617,260.333,7.878,-12.076,0.017,0.034,0.626
2021-01-01 01:00:00,120.352,201.643,269.627,261.092,7.281,-7.833,0.010,0.021,0.626
2021-01-01 02:00:00,199.979,201.407,269.327,262.215,6.396,-4.219,0.004,0.008,0.626
2021-01-01 03:00:00,295.809,200.395,269.527,262.939,4.889,-5.987,0.002,0.004,0.626
2021-01-01 04:00:00,398.457,203.976,269.627,265.385,3.292,-3.017,0.001,0.002,0.626
2021-01-01 05:00:00,500.461,211.327,269.527,266.058,2.222,-2.722,0.006,0.011,0.626
2021-01-01 06:00:00,615.185,203.329,268.727,267.456,0.761,-0.123,0.016,0.033,0.626
2021-01-01 07:00:00,715.242,192.673,268.927,268.120,1.654,-0.670,-0.000,-0.001,0.626
2021-01-01 08:00:00,781.435,195.453,268.827,268.930,3.609,-1.166,0.006,0.012,0.626
2021-01-01 09:00:00,810.542,208.029,269.527,269.660,4.523,-3.024,0.008,0.016,0.626
2021-01-01 10:00:00,807.830,213.796,268.827,269.493,4.443,-1.786,0.012,0.024,0.626
2021-01-01 11:00:00,796.988,211.529,269.027,269.561,5.399,-3.062,0.011,0.022,0.626
2021-01-01 12:00:00,758.986,212.390,269.027,269.553,5.389,-3.057,0.014,0.028,0.626
2021-01-01 13:00:00,674.135,210.115,269.327,268.334,5.775,-3.806,0.006,0.013,0.626
2021-01-01 14:00:00,589.225,217.943,269.427,267.366,5.770,-3.361,0.003,0.005,0.626
2021-01-01 15:00:00,488.840,209.012,269.727,265.734,5.815,-3.457,0.002,0.004,0.626
2021-01-01 16:00:00,365.907,202.766,269.427,264.190,5.997,-1.015,0.001,0.001,0.626
2021-01-01 17:00:00,248.804,210.705,269.527,262.632,5.488,-3.220,0.000,0.000,0.626
2021-01-01 18:00:00,187.234,196.291,269.627,261.286,5.040,-4.212,-0.000,-0.000,0.626
2021-01-01 19:00:00,114.551,187.022,269.827,260.154,5.485,-3.740,0.000,0.000,0.626
2021-01-01 20:00:00,61.427,186.124,269.227,259.248,6.223,-2.066,0.000,0.000,0.626
2021-01-01 21:00:00,32.888,185.219,270.027,258.618,7.021,-4.260,0.000,0.000,0.626
2021-01-01 22:00:00,25.220,184.745,268.027,258.472,7.846,-7.570,0.000,0.000,0.626
2021-01-01 23:00:00,36.239,184.440,266.627,258.437,7.970,-11.946,0.000,0.000,0.626
2021-01-02 00:00:00,68.887,184.486,268.110,258.776,7.904,-13.032,0.000,0.000,0.626
2021-01-02 01:00:00,126.382,184.736,265.927,259.518,7.850,-8.921,0.000,0.000,0.626
2021-01-02 02:00:00,207.338,185.034,265.327,260.604,7.495,-7.742,0.000,0.000,0.626
2021-01-02 03:00:00,306.139,185.418,263.927,261.922,7.088,-2.035,0.000,0.000,0.626
2021-01-02 04:00:00,415.214,185.801,266.027,263.337,6.396,-3.368,0.000,0.000,0.626
2021-01-02 05:00:00,526.254,186.341,264.427,264.790,5.458,-3.803,0.000,0.000,0.626
2021-01-02 06:00:00,630.452,186.872,263.827,266.233,3.910,-4.232,0.000,0.000,0.626
2021-01-02 07:00:00,718.078,188.889,266.127,267.568,2.055,-0.823,0.000,0.000,0.626
2021-01-02 08:00:00,785.860,189.376,265.827,268.355,1.603,-1.330,-0.000,-0.000,0.626
2021-01-02 09:00:00,827.729,190.231,267.127,268.742,2.627,-2.031,0.000,0.000,0.626
2021-01-02 10:00:00,841.038,190.329,269.927,268.702,2.364,-3.159,-0.000,-0.000,0.626
2021-01-02 11:00:00,818.115,193.854,271.027,268.538,3.756,-8.204,-0.000,-0.000,0.626
2021-01-02 12:00:00,774.499,194.075,270.827,268.446,4.793,-6.809,0.000,0.000,0.626
2021-01-02 13:00:00,693.954,200.473,270.927,267.689,5.203,-9.608,0.000,0.000,0.626
2021-01-02 14:00:00,609.297,191.039,271.727,266.243,5.061,-14.501,-0.000,-0.000,0.626
2021-01-02 15:00:00,505.018,190.322,272.327,264.723,4.752,-16.124,-0.000,-0.000,0.626
2021-01-02 16:00:00,395.552,189.277,272.527,263.271,5.027,-19.322,-0.000,-0.000,0.626
2021-01-02 17:00:00,287.363,188.713,272.227,261.880,5.374,-22.301,-0.000,-0.000,0.626
2021-01-02 18:00:00,190.835,187.583,271.427,260.529,6.204,-18.411,0.000,0.000,0.626
2021-01-02 19:00:00,114.173,184.675,271.327,259.255,7.521,-19.823,0.000,0.000,0.626
2021-01-02 20:00:00,60.824,183.040,270.727,258.279,9.047,-15.776,0.000,0.000,0.626
2021-01-02 21:00:00,32.067,181.500,270.027,257.713,10.170,-15.333,0.000,0.000,0.626
2021-01-02 22:00:00,24.220,180.323,268.627,257.848,10.774,-8.427,0.000,0.000,0.626
2021-01-02 23:00:00,35.293,179.030,268.327,257.762,10.657,-8.957,0.000,0.000,0.626
2021-01-03 00:00:00,68.118,178.367,268.120,258.061,10.567,-30.727,0.000,0.000,0.626
2021-01-03 01:00:00,126.000,177.928,265.727,258.728,10.396,-25.608,0.000,0.000,0.626
2021-01-03 02:00:00,207.631,178.134,266.127,259.797,10.016,-27.374,0.000,0.000,0.626
2021-01-03 03:00:00,307.116,178.652,266.127,261.101,9.821,-27.790,0.000,0.000,0.626
2021-01-03 04:00:00,416.499,179.655,265.527,262.540,9.693,-23.082,0.000,0.000,0.626
2021-01-03 05:00:00,527.250,180.875,265.527,263.985,9.657,-27.514,0.000,0.000,0.626
2021-01-03 06:00:00,631.035,182.495,264.527,265.312,9.277,-18.429,0.000,0.000,0.626
2021-01-03 07:00:00,720.223,184.506,265.527,266.468,8.690,-18.528,0.000,0.000,0.626
2021-01-03 08:00:00,787.849,185.904,266.727,267.391,7.551,-19.547,0.000,0.000,0.626
2021-01-03 09:00:00,828.927,187.465,268.027,268.088,6.214,-16.881,0.000,0.000,0.626
2021-01-03 10:00:00,840.751,188.866,268.827,268.559,4.518,-15.148,0.000,0.000,0.626
2021-01-03 11:00:00,822.372,189.914,268.927,268.479,2.989,-10.789,0.000,0.000,0.626
2021-01-03 12:00:00,775.269,190.700,269.427,268.034,1.360,-3.433,0.000,0.000,0.626
2021-01-03 13:00:00,702.659,191.171,269.927,267.243,0.828,-2.615,0.000,0.000,0.626
2021-01-03 14:00:00,607.793,197.308,271.827,266.176,2.064,-7.879,0.000,0.000,0.626
2021-01-03 15:00:00,504.463,190.798,272.027,264.969,2.935,-12.016,0.000,0.000,0.626
2021-01-03 16:00:00,393.615,190.218,271.827,263.636,3.585,-13.953,0.000,0.000,0.626
2021-01-03 17:00:00,285.781,189.409,272.127,262.235,4.445,-21.840,0.000,0.000,0.626
2021-01-03 18:00:00,189.433,188.512,272.327,260.848,6.028,-25.185,0.000,0.000,0.626
2021-01-03 19:00:00,111.974,187.398,270.827,259.582,7.366,-20.993,0.000,0.000,0.626
2021-01-03 20:00:00,58.223,187.399,269.727,258.747,8.436,-18.750,0.000,0.000,0.626
2021-01-03 21:00:00,29.925,187.204,270.127,258.179,9.198,-28.213,0.000,0.000,0.626
2021-01-03 22:00:00,22.241,185.119,268.927,258.081,10.176,-16.434,0.000,0.000,0.626
2021-01-03 23:00:00,32.447,184.058,267.927,258.161,10.283,-9.866,0.000,0.000,0.626
2021-01-04 00:00:00,64.825,182.970,267.514,258.289,10.149,-4.380,0.000,0.000,0.626
2021-01-04 01:00:00,121.115,182.504,267.727,258.880,9.523,-7.680,0.000,0.000,0.626
2021-01-04 02:00:00,201.316,182.553,265.227,259.972,8.981,-2.270,0.000,0.000,0.626
2021-01-04 03:00:00,301.793,183.507,262.627,261.131,8.137,-4.191,0.000,0.000,0.626
2021-01-04 04:00:00,412.051,181.650,264.027,262.700,6.942,-2.794,0.000,0.000,0.626
2021-01-04 05:00:00,522.690,182.498,262.127,264.087,4.993,-2.242,0.000,0.000,0.626
2021-01-04 06:00:00,624.622,184.128,263.527,265.659,2.968,-0.829,0.000,0.000,0.626
2021-01-04 07:00:00,711.836,187.013,264.127,266.781,1.608,-0.921,0.000,0.000,0.626
2021-01-04 08:00:00,783.450,187.557,264.827,267.811,2.176,-1.055,0.000,0.000,0.626
2021-01-04 09:00:00,825.358,187.870,265.527,268.171,3.445,-1.967,0.000,0.000,0.626
2021-01-04 10:00:00,838.048,188.270,266.727,268.032,4.186,-3.698,0.000,0.000,0.626
2021-01-04 11:00:00,820.619,188.580,267.627,267.812,4.924,-3.943,0.000,0.000,0.626
2021-01-04 12:00:00,748.491,195.572,268.427,267.221,4.804,-8.485,0.000,0.000,0.626
2021-01-04 13:00:00,683.014,189.671,269.027,266.389,4.675,-8.603,0.000,0.000,0.626
2021-01-04 14:00:00,608.408,188.206,269.627,265.346,4.501,-9.283,0.000,0.000,0.626
2021-01-04 15:00:00,504.321,188.075,269.927,264.064,4.311,-10.645,0.000,0.000,0.626
2021-01-04 16:00:00,393.174,188.053,270.427,262.658,3.916,-9.126,0.000,0.000,0.626
2021-01-04 17:00:00,284.386,187.071,270.427,261.202,3.678,-14.490,0.000,0.000,0.626
2021-01-04 18:00:00,185.792,187.092,269.227,259.928,3.980,-7.143,0.000,0.000,0.626
2021-01-04 19:00:00,106.683,187.612,268.927,258.827,4.676,-8.220,0.000,0.000,0.626
2021-01-04 20:00:00,55.302,185.289,268.227,257.923,5.252,-6.268,0.000,0.000,0.626
2021-01-04 21:00:00,29.300,183.006,267.527,257.337,5.828,-5.439,0.000,0.000,0.626
2021-01-04 22:00:00,20.940,182.869,267.327,256.850,7.855,-7.757,0.000,0.000,0.626
2021-01-04 23:00:00,31.382,182.804,267.327,256.864,8.667,-16.861,0.000,0.000,0.626
2021-01-05 00:00:00,63.085,182.855,268.205,257.407,9.193,-21.777,0.000,0.000,0.626
2021-01-05 01:00:00,119.153,183.020,265.927,258.196,9.813,-8.198,0.000,0.000,0.626
2021-01-05 02:00:00,199.596,182.844,268.227,259.344,9.698,-12.923,0.000,0.000,0.626
2021-01-05 03:00:00,297.849,183.318,268.427,260.673,9.690,-8.192,0.000,0.000,0.626
2021-01-05 04:00:00,405.712,184.319,267.527,262.005,9.427,-16.251,-0.000,-0.000,0.626
2021-01-05 05:00:00,514.003,185.642,267.427,263.440,8.776,-11.080,0.000,0.000,0.626
2021-01-05 06:00:00,617.139,187.582,268.227,264.833,8.138,-10.848,0.000,0.000,0.626
2021-01-05 07:00:00,703.500,191.670,268.427,266.065,7.770,-8.276,-0.000,-0.000,0.626
2021-01-05 08:00:00,771.289,193.450,268.927,267.380,7.475,-8.237,-0.001,-0.001,0.626
2021-01-05 09:00:00,811.097,199.605,269.227,267.869,7.488,-12.343,0.000,0.000,0.626
2021-01-05 10:00:00,820.149,205.461,268.727,268.154,7.177,-5.649,0.001,0.001,0.626
2021-01-05 11:00:00,737.909,207.804,269.027,267.758,7.392,-3.019,0.001,0.001,0.626
2021-01-05 12:00:00,743.066,220.235,270.827,267.554,7.890,-8.524,0.001,0.002,0.626
2021-01-05 13:00:00,678.988,216.391,270.927,267.624,8.612,-7.860,0.001,0.003,0.626
2021-01-05 14:00:00,582.009,226.566,271.227,266.704,9.155,-10.164,0.001,0.002,0.626
2021-01-05 15:00:00,476.471,210.023,271.227,265.155,10.054,-13.818,0.001,0.002,0.626
2021-01-05 16:00:00,375.177,206.002,271.327,263.664,10.952,-13.225,0.001,0.001,0.626
2021-01-05 17:00:00,265.178,207.329,271.327,263.008,11.946,-7.924,0.000,0.000,0.626
2021-01-05 18:00:00,168.316,212.303,271.427,261.787,12.790,-10.907,0.001,0.001,0.626
2021-01-05 19:00:00,95.212,214.271,271.427,261.223,13.372,-12.628,0.000,0.000,0.626
2021-01-05 20:00:00,46.064,218.145,271.227,260.541,13.191,-12.291,0.000,0.000,0.626
2021-01-05 21:00:00,22.387,218.073,271.027,260.725,13.155,-3.713,0.000,0.001,0.626
2021-01-05 22:00:00,15.937,232.261,271.027,261.326,12.856,-3.629,0.000,0.001,0.626
2021-01-05 23:00:00,22.682,238.803,271.127,261.390,12.959,-1.236,0.000,0.000,0.626
2021-01-06 00:00:00,43.978,229.200,271.214,261.601,12.713,1.387,0.001,0.002,0.626
2021-01-06 01:00:00,81.558,236.993,271.027,262.460,12.241,3.524,0.005,0.010,0.626
2021-01-06 02:00:00,136.362,237.229,270.927,263.018,11.527,2.192,0.018,0.036,0.626
2021-01-06 03:00:00,211.682,242.011,271.027,264.216,10.893,5.264,0.028,0.057,0.626
2021-01-06 04:00:00,303.926,240.814,270.927,265.326,10.365,1.971,0.050,0.100,0.626
2021-01-06 05:00:00,393.344,246.031,270.927,266.430,9.624,2.754,0.035,0.071,0.626
2021-01-06 06:00:00,492.284,239.079,270.527,267.566,9.014,1.669,0.004,0.009,0.626
2021-01-06 07:00:00,575.763,245.674,271.227,268.808,8.436,1.635,0.003,0.005,0.626
2021-01-06 08:00:00,636.359,251.839,271.327,269.652,8.171,1.595,0.008,0.016,0.626
2021-01-06 09:00:00,625.975,251.703,271.427,270.400,7.724,-2.239,0.014,0.027,0.626
2021-01-06 10:00:00,699.877,248.760,271.527,270.524,6.579,-5.642,0.019,0.038,0.626
2021-01-06 11:00:00,667.237,249.250,271.827,270.031,6.505,-3.830,0.026,0.053,0.626
2021-01-06 12:00:00,643.515,253.411,272.127,269.965,6.379,-6.911,0.031,0.062,0.626
2021-01-06 13:00:00,530.346,256.511,271.927,269.347,6.533,-4.501,0.026,0.052,0.626
2021-01-06 14:00:00,469.270,248.655,271.927,268.658,7.059,-6.213,0.025,0.049,0.626
2021-01-06 15:00:00,372.995,253.963,272.027,267.518,7.580,-6.716,0.015,0.030,0.626
2021-01-06 16:00:00,274.057,248.668,271.927,266.531,7.912,-6.962,0.017,0.033,0.626
2021-01-06 17:00:00,194.461,256.993,271.927,265.127,8.460,-5.011,0.019,0.039,0.626
2021-01-06 18:00:00,123.667,255.726,271.327,264.725,9.267,-4.410,0.018,0.037,0.626
2021-01-06 19:00:00,75.052,244.288,270.827,264.499,10.299,-2.861,0.016,0.031,0.626
2021-01-06 20:00:00,36.537,251.910,270.927,263.764,11.115,-1.043,0.023,0.046,0.626
2021-01-06 21:00:00,18.725,257.763,270.427,264.334,11.647,-5.211,0.037,0.074,0.626
2021-01-06 22:00:00,13.311,253.991,271.027,264.148,12.402,-4.631,0.027,0.054,0.626
2021-01-06 23:00:00,20.861,244.134,270.927,263.954,12.059,-3.364,0.034,0.068,0.626
2021-01-07 00:00:00,43.314,244.710,270.720,264.246,11.796,-2.095,0.020,0.040,0.626
2021-01-07 01:00:00,79.563,246.020,270.327,264.399,11.255,-4.992,0.029,0.058,0.626
2021-01-07 02:00:00,152.425,228.598,270.127,265.134,10.710,-7.422,0.022,0.044,0.626
2021-01-07 03:00:00,252.217,223.938,268.927,265.541,10.356,-1.688,0.009,0.018,0.626
2021-01-07 04:00:00,349.964,224.201,268.527,266.594,10.304,0.826,0.006,0.011,0.626
2021-01-07 05:00:00,477.213,218.051,269.827,267.494,9.970,-0.866,0.003,0.007,0.626
2021-01-07 06:00:00,585.379,221.185,268.827,268.631,8.633,-4.809,0.005,0.010,0.626
2021-01-07 07:00:00,664.531,220.144,270.727,269.802,6.992,-6.254,0.001,0.003,0.626
2021-01-07 08:00:00,742.622,218.995,271.227,270.200,5.658,-9.173,0.002,0.004,0.626
